50136 	3 
50204 	3 
50228 	3 
50246 	3 
50247 	3 
50349 	3 
50353 	3 
50425 	3 
50431 	4 
50434 	3 
50442 	3 
50445 	4 
50468 	3 
50514 	3 
50524 	3 
50525 	3 
50526 	4 
50527 	2 
50548 	3 
50557 	2 
50564 	3 
50566 	3 
50603 	3 
50618 	4 
50632 	3 
50639 	4 
50645 	4 
50646 	3 
50647 	3 
50655 	3 
50656 	3 
50658 	3 
50659 	3 
50673 	3 
50674 	3 
50727 	3 
50739 	3 
50741 	3 
50742 	3 
50745 	2 
50749 	3 
50750 	3 
50755 	3 
50756 	3 
50758 	3 
50767 	3 
50772 	3 
50774 	2 
50775 	3 
50776 	3 
50778 	3 
50779 	3 
50787 	3 
50788 	3 
50832 	4 
50833 	4 
50834 	2 
50838 	4 
50842 	3 
50844 	3 
50851 	3 
50852 	3 
50853 	3 
50854 	3 
50858 	3 
50859 	3 
50861 	3 
50862 	3 
50867 	3 
50871 	3 
50873 	4 
50877 	3 
50878 	4 
50879 	3 
50880 	3 
50884 	4 
50888 	3 
50892 	3 
50913 	4 
50915 	3 
50928 	4 
50934 	4 
50936 	4 
50937 	4 
50939 	3 
50940 	3 
50945 	3 
50946 	4 
50948 	3 
50949 	3 
50950 	3 
50953 	1 
50954 	3 
50955 	4 
50956 	3 
50958 	3 
50960 	3 
50962 	3 
50963 	3 
50964 	3 
50965 	3 
50968 	3 
50973 	3 
50978 	3 
50979 	3 
50983 	3 
50985 	3 
50987 	3 
51053 	3 
51057 	3 
51058 	3 
51059 	4 
51060 	4 
51068 	3 
51076 	2 
51087 	3 
51133 	2 
51137 	4 
51145 	4 
51156 	3 
51186 	3 
51232 	3 
51238 	4 
51241 	3 
51243 	2 
51288 	2 
51328 	3 
51329 	3 
51330 	3 
51334 	3 
51346 	4 
51352 	4 
51353 	4 
51356 	4 
51357 	4 
51358 	4 
51359 	4 
51365 	3 
51367 	4 
51368 	4 
51369 	4 
51377 	4 
51378 	4 
51379 	3 
51430 	4 
51431 	2 
51433 	4 
51434 	4 
51435 	4 
51436 	4 
51437 	3 
51438 	4 
51463 	1 
51465 	4 
51467 	3 
51470 	4 
51477 	3 
51482 	4 
51495 	3 
51526 	3 
51542 	3 
51559 	4 
51567 	4 
51568 	4 
51571 	4 
